"interaction_id","user_id","post_id","interaction_type","timestamp"
"i_0012806","u_0328","p_00215","share","2024-02-20T16:29:08.969512"
"i_0037537","u_0731","p_00921","bookmark","2024-02-23T03:10:12.105428"
"i_0003491","u_0812","p_09708","report","2024-02-27T13:47:23.166148"
"i_0009680","u_0468","p_06056","report","2024-03-03T02:28:05.184306"
"i_0046025","u_0022","p_08558","report","2024-03-03T20:07:30.475781"
"i_0040784","u_0297","p_08400","bookmark","2024-03-06T19:04:01.943451"
"i_0002156","u_0856","p_01365","report","2024-03-09T03:49:41.149963"
"i_0008722","u_0441","p_09864","dislike","2024-03-11T09:31:51.463649"
"i_0016819","u_0966","p_09935","report","2024-03-12T08:01:28.445800"
"i_0037458","u_0022","p_08117","bookmark","2024-03-13T09:59:07.206323"
"i_0006660","u_0451","p_02944","bookmark","2024-03-13T15:37:14.550142"
"i_0034796","u_0491","p_06711","bookmark","2024-03-15T00:55:05.380641"
"i_0027008","u_0652","p_07825","bookmark","2024-03-15T04:44:43.706955"
"i_0029310","u_0050","p_00580","like","2024-03-16T00:13:08.215620"
"i_0034836","u_0015","p_05290","report","2024-03-17T00:31:43.796610"
"i_0013673","u_0272","p_04043","comment","2024-03-18T00:22:11.739833"
"i_0047147","u_0492","p_08003","report","2024-03-18T06:45:27.614779"
"i_0003906","u_0844","p_01727","like","2024-03-20T22:43:06.849363"
"i_0043446","u_0080","p_07489","view_full","2024-03-21T10:15:14.023509"
"i_0046568","u_0873","p_01564","like","2024-03-22T23:14:25.272047"
"i_0031615","u_0783","p_02521","report","2024-03-23T08:18:10.214015"
"i_0039491","u_0770","p_01353","view_full","2024-03-25T14:19:11.968180"
"i_0026995","u_0820","p_08553","comment","2024-03-27T02:22:18.692087"
"i_0035509","u_0574","p_01625","view_full","2024-03-28T19:07:54.172668"
"i_0017360","u_0819","p_02511","report","2024-03-29T07:13:44.594576"
"i_0017698","u_0867","p_09487","view_full","2024-03-29T23:11:16.998302"
"i_0022727","u_0368","p_07956","share","2024-03-30T00:50:36.947095"
"i_0030547","u_0446","p_06328","view_full","2024-03-30T01:56:24.989019"
"i_0034028","u_0022","p_06120","like","2024-03-30T14:07:57.726462"
